"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","Roster.Position","X.Drafted","FPTS"
1,972331563,"fclark76 (8/17)",0,307.75,"SG Devin Booker SF Josh Richardson G Elfrid Payton PF Nikola Mirotic C Pau Gasol UTIL Tobias Harris F Willie Cauley-Stein PG Andrew Harrison",NA,"Nikola Jokic","C","57.13%",31.25
2,972494884,"cheddabisque (20/96)",0,296.25,"G Kyle Lowry C Nikola Jokic UTIL Lou Williams SG Kris Dunn SF Tobias Harris PG Reggie Jackson F Wayne Ellington PF Bismack Biyombo",NA,"Bismack Biyombo","F","42.78%",27.5
3,972534837,"Awesemo (76/96)",0,293.5,"C Andre Drummond PG Kyle Lowry UTIL Nikola Jokic F Harrison Barnes SF Tobias Harris SG J.J. Barea G Wayne Ellington PF Bismack Biyombo",NA,"Giannis Antetokounmpo","UTIL","36.03%",45.25
4,972513395,"mazwa (2/35)",0,292.75,"UTIL Andre Drummond C Marc Gasol PG Tyreke Evans G Elfrid Payton SG J.J. Barea F Dirk Nowitzki SF Wayne Ellington PF Bismack Biyombo",NA,"Andrew Harrison","PG","34.91%",22.5
5,972772072,"REDCOAT85 (52/96)",0,291,"C Andre Drummond SG Tyreke Evans UTIL Nikola Jokic PF Kelly Olynyk F Willie Cauley-Stein PG J.J. Barea G Andrew Harrison SF Wayne Ellington",NA,"Wayne Ellington","SF","34.76%",34
6,972513405,"mazwa (12/35)",0,289.75,"UTIL Andre Drummond C Marc Gasol PG Eric Bledsoe G Elfrid Payton F Tobias Harris SG Andrew Harrison SF Wayne Ellington PF Bismack Biyombo",NA,"Lou Williams","G","31.75%",31.25
7,972570527,"jlb11973 (1/2)",0,288.75,"C Andre Drummond UTIL Marc Gasol PG Eric Bledsoe G Kris Dunn PF Kelly Olynyk SF Wayne Ellington F Bismack Biyombo SG Luke Kennard",NA,"Andre Drummond","C","26.80%",50
8,972497833,"Kobe4MVP (4/96)",0,288.5,"F Giannis Antetokounmpo UTIL Andre Drummond G Spencer Dinwiddie SF Tobias Harris PG Milos Teodosic C Dirk Nowitzki SG Wayne Ellington PF Bismack Biyombo",NA,"Milos Teodosic","SG","25.06%",28.5
8,972600002,"anilprao88 (73/96)",0,288.5,"UTIL Giannis Antetokounmpo C DeAndre Jordan PG Elfrid Payton SF Tobias Harris PF Derrick Favors G Andrew Harrison SG Wayne Ellington F Montrezl Harrell",NA,"Zach Randolph","F","24.26%",21.75
10,972600025,"anilprao88 (96/96)",0,288,"SG Victor Oladipo PG Kyle Lowry PF Pau Gasol SF Tobias Harris C Derrick Favors F Willie Cauley-Stein UTIL Milos Teodosic G Wayne Ellington",NA,"J.J. Barea","UTIL","22.34%",29.75
11,972534774,"Awesemo (13/96)",0,286.25,"SF Giannis Antetokounmpo PG Kyle Lowry C Nikola Jokic UTIL Willie Cauley-Stein SG J.J. Barea PF Dirk Nowitzki G Wayne Ellington F Bismack Biyombo",NA,"Buddy Hield","SG","22.03%",12
11,972599931,"anilprao88 (2/96)",0,286.25,"C Andre Drummond PG Kyle Lowry UTIL Nikola Jokic SF Tobias Harris PF Derrick Favors G Milos Teodosic SG Andrew Harrison F Wayne Ellington",NA,"George Hill","SG","21.72%",25
13,972494932,"cheddabisque (68/96)",0,286,"SG Tyreke Evans F LaMarcus Aldridge C Nikola Jokic SF Tobias Harris PG Tyler Johnson PF Willie Cauley-Stein G Wayne Ellington UTIL Bismack Biyombo",NA,"Tyreke Evans","PG","20.23%",43.25
14,972336659,"jaylox15 (2/2)",0,285.75,"C Marc Gasol PG Tyreke Evans UTIL Kris Dunn G Josh Richardson SG Tyler Johnson PF Willie Cauley-Stein F Wayne Ellington SF Reggie Bullock",NA,"Elfrid Payton","PG","20.07%",39
15,972571769,"BERGS509 (2/2)",0,284.5,"UTIL Andre Drummond F Jonathon Simmons PG Kris Dunn SF Josh Richardson G Elfrid Payton PF Willie Cauley-Stein SG Wayne Ellington C Bismack Biyombo",NA,"Marc Gasol","C","17.26%",33.5
15,972617247,"papagates (94/96)",0,284.5,"UTIL DeAndre Jordan C Nikola Jokic SG Kris Dunn PF Kelly Olynyk SF Rondae Hollis-Jefferson F Willie Cauley-Stein PG J.J. Barea G Milos Teodosic",NA,"Willie Cauley-Stein","C","17.04%",37.25
17,972494872,"cheddabisque (8/96)",0,284,"UTIL Andre Drummond F LaMarcus Aldridge C Nikola Jokic SF Tobias Harris PG Tyler Johnson G Milos Teodosic SG Wayne Ellington PF Bismack Biyombo",NA,"Austin Rivers","SG","17.01%",17.5
17,972497857,"Kobe4MVP (28/96)",0,284,"UTIL Andre Drummond PF LaMarcus Aldridge C Nikola Jokic SF Tobias Harris SG Tyler Johnson PG Milos Teodosic G Wayne Ellington F Bismack Biyombo",NA,"DeAndre Jordan","UTIL","16.88%",35.75
17,972648275,"youdacao (52/96)",0,284,"SF Giannis Antetokounmpo C Andre Drummond G Lou Williams F Willie Cauley-Stein UTIL Wilson Chandler PG Andrew Harrison SG Wayne Ellington PF Montrezl Harrell",NA,"Wilson Chandler","SF","16.23%",26.25
20,972534807,"Awesemo (46/96)",0,283.75,"PG Kyle Lowry C Nikola Jokic UTIL Goran Dragic G Elfrid Payton PF Harrison Barnes SF Tobias Harris F Trey Lyles SG Wayne Ellington",NA,"Donovan Mitchell","UTIL","14.62%",27.25
20,972600020,"anilprao88 (91/96)",0,283.75,"SF Giannis Antetokounmpo C Andre Drummond PF Derrick Favors F Willie Cauley-Stein PG J.J. Barea G Milos Teodosic UTIL Trey Lyles SG Wayne Ellington",NA,"Tobias Harris","SF","14.03%",44
22,972599962,"anilprao88 (33/96)",0,283.5,"SF Giannis Antetokounmpo C Marc Gasol PG Kyle Lowry UTIL Willie Cauley-Stein G Milos Teodosic SG Wayne Ellington PF Marreese Speights F Montrezl Harrell",NA,"Harrison Barnes","SF","13.01%",31.5
22,972686794,"bellaedward4eva (7/20)",0,283.5,"UTIL Andre Drummond PG Tyreke Evans C Nikola Jokic G Reggie Jackson F Willie Cauley-Stein SG Milos Teodosic PF Trey Lyles SF Wayne Ellington",NA,"Derrick Favors","PF","12.48%",30.5
24,972682015,"knelso12 (1/2)",0,283.25,"UTIL Tyreke Evans SG Lou Williams PG Eric Bledsoe F Nikola Mirotic C Pau Gasol G Tyler Johnson SF Wayne Ellington PF Bismack Biyombo",NA,"Rondae Hollis-Jefferson","SF","12.36%",27
24,972682986,"knelso12 (2/2)",0,283.25,"UTIL Tyreke Evans SG Lou Williams PG Eric Bledsoe F Nikola Mirotic C Pau Gasol G Tyler Johnson SF Wayne Ellington PF Bismack Biyombo",NA,"Victor Oladipo","PG","11.96%",26.75
26,972462663,"darcmaniluk (55/65)",0,283,"SF Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton PF Derrick Favors SG J.J. Barea UTIL Trey Lyles G Andrew Harrison F Montrezl Harrell",NA,"Trey Lyles","F","11.34%",28.5
27,972404662,"wakeywakey (49/51)",0,282.75,"C Andre Drummond PG Kyle Lowry UTIL Nikola Jokic SF Tobias Harris PF Derrick Favors G George Hill SG Andrew Harrison F Wayne Ellington",NA,"Tyler Johnson","SG","10.66%",29
28,972709190,"heelsfan111",0,282.5,"G Tyreke Evans UTIL LaMarcus Aldridge SG Lou Williams PG Elfrid Payton PF Pau Gasol SF Wilson Chandler F Wayne Ellington C Bismack Biyombo",NA,"Myles Turner","C","10.53%",17.75
29,972560823,"MLZ29",0,282,"UTIL Tyreke Evans G Kyle Lowry PG Eric Bledsoe SG Donovan Mitchell C Willie Cauley-Stein SF Wilson Chandler F Dirk Nowitzki PF Bismack Biyombo",NA,"Spencer Dinwiddie","SG","8.55%",23.5
30,972274001,"mightymurse",0,281.75,"C Marc Gasol PG Lou Williams G Kris Dunn UTIL Tobias Harris F Serge Ibaka PF Willie Cauley-Stein SF Wilson Chandler SG George Hill",NA,"Dirk Nowitzki","C","7.65%",35.75
30,972390531,"pwee31",0,281.75,"SF Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton UTIL Serge Ibaka SG George Hill PF Trey Lyles G Wayne Ellington F Bismack Biyombo",NA,"Serge Ibaka","UTIL","6.63%",32.5
32,972437143,"garvchris",0,281.5,"C Nikola Jokic SG Eric Bledsoe G Kris Dunn PG Goran Dragic SF Tobias Harris PF Kelly Olynyk F Wilson Chandler UTIL Bojan Bogdanovic",NA,"Mason Plumlee","PF","6.41%",23.5
33,972449652,"uscsteve",0,281.25,"C Andre Drummond SG Tyreke Evans PG Goran Dragic UTIL Elfrid Payton G Ricky Rubio PF Wilson Chandler F Dirk Nowitzki SF Wayne Ellington",NA,"Justin Holiday","F","6.32%",22.25
33,972599955,"anilprao88 (26/96)",0,281.25,"F Giannis Antetokounmpo C Andre Drummond UTIL Nikola Jokic PG J.J. Barea G Milos Teodosic SG George Hill SF Wayne Ellington PF Montrezl Harrell",NA,"T.J. Warren","PF","6.20%",17
35,972462673,"darcmaniluk (65/65)",0,281,"C Andre Drummond PG Kyle Lowry G Donovan Mitchell PF Pau Gasol F Willie Cauley-Stein UTIL Milos Teodosic SF Trey Lyles SG Andrew Harrison",NA,"LaMarcus Aldridge","PF","6.13%",39.75
35,972772065,"REDCOAT85 (45/96)",0,281,"F Giannis Antetokounmpo C Andre Drummond SF Harrison Barnes PF Tobias Harris G J.J. Barea UTIL Milos Teodosic SG Wayne Ellington PG Ish Smith",NA,"Eric Bledsoe","SG","5.70%",39.25
37,972462627,"darcmaniluk (19/65)",0,280.75,"C DeAndre Jordan PG Kyle Lowry SG Lou Williams G Elfrid Payton F Derrick Favors UTIL Willie Cauley-Stein SF Wayne Ellington PF Bismack Biyombo",NA,"Dennis Smith Jr.","UTIL","5.55%",19.75
37,972492084,"btwice80 (20/25)",0,280.75,"SF Giannis Antetokounmpo G Tyreke Evans F Tobias Harris C Serge Ibaka UTIL Willie Cauley-Stein SG Milos Teodosic PG Andrew Harrison PF Bismack Biyombo",NA,"Pau Gasol","PF","5.30%",41.5
39,972494881,"cheddabisque (17/96)",0,280.5,"C Andre Drummond PF LaMarcus Aldridge UTIL Nikola Jokic SF Tobias Harris F Willie Cauley-Stein PG Milos Teodosic G Bojan Bogdanovic SG Wayne Ellington",NA,"Kyle Lowry","G","5.08%",45.5
39,972497862,"Kobe4MVP (33/96)",0,280.5,"UTIL Andre Drummond F LaMarcus Aldridge C Nikola Jokic SF Tobias Harris PF Willie Cauley-Stein PG Milos Teodosic G Bojan Bogdanovic SG Wayne Ellington",NA,"Josh Richardson","SF","5.08%",37.75
39,972513394,"mazwa (1/35)",0,280.5,"SF Giannis Antetokounmpo UTIL Andre Drummond C DeAndre Jordan PG J.J. Barea F Dirk Nowitzki G Andrew Harrison SG Wayne Ellington PF Bismack Biyombo",NA,"Kawhi Leonard","F","5.02%",27.5
42,972429072,"pianoclub (85/96)",0,280.25,"UTIL Giannis Antetokounmpo C Andre Drummond G Spencer Dinwiddie F Kelly Olynyk PG Milos Teodosic SF Trey Lyles SG Wayne Ellington PF Bismack Biyombo",NA,"Bojan Bogdanovic","G","4.86%",15.75
42,972497845,"Kobe4MVP (16/96)",0,280.25,"F Giannis Antetokounmpo C Nikola Jokic G Kris Dunn PF Tobias Harris SG J.J. Barea PG Milos Teodosic UTIL Wesley Matthews SF Wayne Ellington",NA,"Bogdan Bogdanovic","F","4.86%",18.25
44,972660695,"SizV",0,280,"UTIL Andre Drummond PG Tyreke Evans C Nikola Jokic G Elfrid Payton PF Serge Ibaka SG Andrew Harrison SF Wayne Ellington F Bismack Biyombo",NA,"DeMar DeRozan","SG","4.83%",23.25
45,972464723,"ChipotleAddict (8/96)",0,279.75,"C Andre Drummond UTIL Nikola Jokic SG Eric Bledsoe F Kawhi Leonard PF Kelly Olynyk PG J.J. Barea G George Hill SF Wayne Ellington",NA,"Goran Dragic","G","4.28%",30
45,972599977,"anilprao88 (48/96)",0,279.75,"UTIL Giannis Antetokounmpo PG Kyle Lowry G Donovan Mitchell C Derrick Favors F Willie Cauley-Stein SG Andrew Harrison SF Wayne Ellington PF Montrezl Harrell",NA,"James Ennis III","SF","4.18%",20.75
47,972497867,"Kobe4MVP (38/96)",0,279.5,"UTIL Andre Drummond F LaMarcus Aldridge C Nikola Jokic G Tyler Johnson PF Willie Cauley-Stein SG J.J. Barea PG Milos Teodosic SF Wayne Ellington",NA,"Allen Crabbe","F","3.66%",22.25
47,972733457,"Lokedog1",0,279.5,"C Andre Drummond UTIL Nikola Jokic PG Eric Bledsoe PF Kawhi Leonard SF Tobias Harris SG Milos Teodosic G George Hill F Wayne Ellington",NA,"Reggie Bullock","UTIL","3.62%",19
49,972494902,"cheddabisque (38/96)",0,279.25,"C Andre Drummond PG Kyle Lowry UTIL Nikola Jokic SG Spencer Dinwiddie SF Tobias Harris PF Mason Plumlee G Wayne Ellington F Bismack Biyombo",NA,"Khris Middleton","F","3.62%",26.25
49,972599972,"anilprao88 (43/96)",0,279.25,"SG Tyreke Evans PG Kyle Lowry C Nikola Jokic G Elfrid Payton SF Tobias Harris F Wilson Chandler UTIL Andrew Harrison PF Bismack Biyombo",NA,"Kris Dunn","SG","3.50%",52
51,972462662,"darcmaniluk (54/65)",0,279,"UTIL Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton F Derrick Favors SG J.J. Barea G Milos Teodosic SF Wayne Ellington PF Marreese Speights",NA,"Mario Hezonja","G","3.19%",22.25
51,972615163,"moklovin (16/20)",0,279,"C Andre Drummond UTIL DeAndre Jordan G Lou Williams SF Tobias Harris PF Willie Cauley-Stein PG J.J. Barea F Trey Lyles SG Andrew Harrison",NA,"Jonathon Simmons","SG","3.19%",7
53,972404656,"wakeywakey (43/51)",0,278.5,"C Andre Drummond UTIL Nikola Jokic SG Donovan Mitchell PG Kris Dunn SF Harrison Barnes G George Hill F Wayne Ellington PF Bismack Biyombo",NA,"Wesley Matthews","SG","3.13%",15.5
53,972773137,"DonaldReagan",0,278.5,"G Tyreke Evans SG Eric Bledsoe PG Goran Dragic SF Tobias Harris C Zach Randolph UTIL Tyler Johnson PF Willie Cauley-Stein F Wayne Ellington",NA,"Bobby Portis","F","3.10%",22.5
55,972582168,"NILKNARF (10/15)",0,278.25,"F Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton SF Harrison Barnes UTIL Milos Teodosic G Andrew Harrison SG Wayne Ellington PF Bismack Biyombo",NA,"Ish Smith","PG","3.07%",18
56,972513428,"mazwa (35/35)",0,278,"PG Tyreke Evans C DeAndre Jordan UTIL Nikola Jokic G Elfrid Payton SF Harrison Barnes F Dirk Nowitzki SG Wayne Ellington PF Bismack Biyombo",NA,"Joe Ingles","SG","2.94%",22.75
56,972589005,"jvit507 (3/3)",0,278,"C Andre Drummond UTIL Devin Booker G Josh Richardson PG Elfrid Payton SG Austin Rivers PF Dirk Nowitzki SF Allen Crabbe F Bismack Biyombo",NA,"DeMarre Carroll","SF","2.73%",15
56,972772074,"REDCOAT85 (54/96)",0,278,"C Andre Drummond UTIL DeAndre Jordan SG Lou Williams PF Harrison Barnes F Willie Cauley-Stein PG J.J. Barea G Milos Teodosic SF Wayne Ellington",NA,"Nikola Mirotic","PF","2.48%",37.5
59,972486603,"DannibalLecter (4/12)",0,277.75,"C Andre Drummond UTIL Marc Gasol PG Tyreke Evans F Tobias Harris G Tyler Johnson SG J.J. Barea PF Bismack Biyombo SF James Ennis III",NA,"Lauri Markkanen","F","2.48%",13.75
59,972617177,"papagates (24/96)",0,277.75,"C Andre Drummond SG Tyreke Evans UTIL Nikola Jokic PF Kelly Olynyk PG J.J. Barea G Milos Teodosic SF Trey Lyles F Mason Plumlee",NA,"Reggie Jackson","G","2.39%",30.75
61,972435016,"emmy2k2",0,277.25,"SF Giannis Antetokounmpo C Andre Drummond G Tyreke Evans PG J.J. Barea PF Trey Lyles F Wayne Ellington SG Reggie Bullock UTIL Bismack Biyombo",NA,"Kelly Olynyk","PF","2.35%",43
61,972494908,"cheddabisque (44/96)",0,277.25,"C Andre Drummond G Kyle Lowry UTIL Nikola Jokic PF Tobias Harris SF Rondae Hollis-Jefferson PG J.J. Barea SG Allen Crabbe F Bismack Biyombo",NA,"Malcolm Brogdon","PG","2.32%",32
61,972648287,"youdacao (64/96)",0,277.25,"C Andre Drummond SG Tyreke Evans UTIL Nikola Jokic PF Serge Ibaka SF Justin Holiday PG Malcolm Brogdon G Milos Teodosic F Montrezl Harrell",NA,"Bam Adebayo","PF","1.83%",30.75
64,972299490,"shawnzhan (59/96)",0,277,"C Andre Drummond UTIL DeAndre Jordan PG Goran Dragic PF Nikola Mirotic SF Harrison Barnes SG J.J. Barea G Milos Teodosic F Wayne Ellington",NA,"John Henson","C","1.64%",22.5
64,972586063,"babelbry (1/2)",0,277,"F Giannis Antetokounmpo UTIL Andre Drummond SF Harrison Barnes PG Tyler Johnson PF Willie Cauley-Stein G Andrew Harrison SG Wayne Ellington C Bismack Biyombo",NA,"Will Barton","G","1.58%",20
64,972586093,"babelbry (2/2)",0,277,"F Giannis Antetokounmpo UTIL Andre Drummond SF Harrison Barnes PG Tyler Johnson PF Willie Cauley-Stein G Andrew Harrison SG Wayne Ellington C Bismack Biyombo",NA,"Robin Lopez","UTIL","1.36%",19.5
64,972615155,"moklovin (8/20)",0,277,"F Giannis Antetokounmpo C Nikola Jokic SF Tobias Harris UTIL Rondae Hollis-Jefferson PF Willie Cauley-Stein PG J.J. Barea G Milos Teodosic SG Wayne Ellington",NA,"Lance Stephenson","F","1.36%",18
64,972709904,"Stallion33 (3/4)",0,277,"SG Tyreke Evans C DeAndre Jordan UTIL Kyle Lowry PG Elfrid Payton F Rondae Hollis-Jefferson G George Hill SF Wayne Ellington PF Bismack Biyombo",NA,"Isaiah Canaan","PG","1.33%",12.25
64,972709905,"Stallion33 (4/4)",0,277,"SG Tyreke Evans C DeAndre Jordan UTIL Kyle Lowry PG Elfrid Payton F Rondae Hollis-Jefferson G George Hill SF Wayne Ellington PF Bismack Biyombo",NA,"Montrezl Harrell","F","1.24%",37.5
70,972534850,"Awesemo (89/96)",0,276.75,"C Andre Drummond UTIL Nikola Jokic PG Goran Dragic SF Tobias Harris PF Zach Randolph F Willie Cauley-Stein G Milos Teodosic SG Wayne Ellington",NA,"Jarell Martin","PF","1.18%",21.5
70,972648281,"youdacao (58/96)",0,276.75,"SF Giannis Antetokounmpo C Andre Drummond PG Donovan Mitchell PF Serge Ibaka G Joe Ingles SG Wayne Ellington F Bismack Biyombo UTIL Montrezl Harrell",NA,"Denzel Valentine","SF","1.15%",23.5
72,972451709,"kencamnat (2/7)",0,276.5,"C Andre Drummond UTIL Tyreke Evans PG Spencer Dinwiddie F Tobias Harris PF Derrick Favors G Tyler Johnson SF Allen Crabbe SG Wayne Ellington",NA,"Gary Harris","UTIL","1.12%",26
72,972494935,"cheddabisque (71/96)",0,276.5,"F LaMarcus Aldridge G Kyle Lowry C Nikola Jokic SF Tobias Harris PG Tyler Johnson PF Willie Cauley-Stein UTIL Bojan Bogdanovic SG Wayne Ellington",NA,"Jamal Murray","SG","1.12%",36.5
74,972513400,"mazwa (7/35)",0,276.25,"C Andre Drummond PG Tyreke Evans UTIL Nikola Jokic PF Harrison Barnes G Tyler Johnson SG J.J. Barea SF Wayne Ellington F Bismack Biyombo",NA,"Jonas Valanciunas","UTIL","0.99%",35.25
74,972628868,"balletta777 (1/7)",0,276.25,"UTIL Andre Drummond SG Tyreke Evans F Josh Richardson PG Elfrid Payton G Tyler Johnson SF Wilson Chandler PF Mason Plumlee C Bismack Biyombo",NA,"Ricky Rubio","PG","0.93%",23
76,972513404,"mazwa (11/35)",0,276,"C Marc Gasol PG Tyreke Evans UTIL Nikola Jokic G Elfrid Payton SF Tobias Harris F Mason Plumlee SG Wayne Ellington PF Bismack Biyombo",NA,"Thaddeus Young","F","0.84%",10
76,972599937,"anilprao88 (8/96)",0,276,"PG Kyle Lowry C Nikola Jokic UTIL Donovan Mitchell G Elfrid Payton F Kawhi Leonard SF Tobias Harris SG Wayne Ellington PF Bismack Biyombo",NA,"Darren Collison","PG","0.84%",6.75
76,972666131,"PetrGibbons (16/96)",0,276,"F Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton SF Harrison Barnes UTIL Wilson Chandler G Andrew Harrison SG Wayne Ellington PF Bismack Biyombo",NA,"Greg Monroe","UTIL","0.84%",0
79,972389102,"hotsauce21",0,275.75,"PG Tyreke Evans G Lou Williams SF Josh Richardson UTIL Austin Rivers F Pau Gasol PF Kelly Olynyk SG Wayne Ellington C Bismack Biyombo",NA,"Anthony Tolliver","SF","0.81%",1.75
79,972486571,"DannibalLecter (1/12)",0,275.75,"C Andre Drummond PG Tyreke Evans UTIL Goran Dragic PF Harrison Barnes SF Tobias Harris G Dennis Smith Jr. SG J.J. Barea F Bismack Biyombo",NA,"Hassan Whiteside","C","0.81%",18.5
79,972494922,"cheddabisque (58/96)",0,275.75,"UTIL Andre Drummond C Nikola Jokic PG Lou Williams F Tobias Harris SF Rondae Hollis-Jefferson G Reggie Jackson SG Wayne Ellington PF Bismack Biyombo",NA,"Evan Fournier","F","0.77%",17.75
79,972497844,"Kobe4MVP (15/96)",0,275.75,"UTIL Andre Drummond C Marc Gasol SG Lou Williams SF Tobias Harris PF Rondae Hollis-Jefferson PG Milos Teodosic G Wayne Ellington F Bismack Biyombo",NA,"Kobi Simmons","SG","0.68%",20.75
79,972497872,"Kobe4MVP (43/96)",0,275.75,"UTIL Andre Drummond C Nikola Jokic PG Lou Williams SF Tobias Harris PF Rondae Hollis-Jefferson G Reggie Jackson SG Wayne Ellington F Bismack Biyombo",NA,"Devin Booker","SF","0.68%",48.25
84,972494883,"cheddabisque (19/96)",0,275.5,"SF Giannis Antetokounmpo PG Kyle Lowry C Nikola Jokic SG Tyler Johnson UTIL Willie Cauley-Stein G Wayne Ellington PF Bismack Biyombo F Marquese Chriss",NA,"Marquese Chriss","PF","0.68%",25.75
84,972606378,"rpm555 (1/2)",0,275.5,"PG Tyreke Evans SG Lou Williams G Elfrid Payton C Pau Gasol SF Tobias Harris PF Derrick Favors F Denzel Valentine UTIL Andrew Harrison",NA,"Dillon Brooks","SG","0.65%",10.75
84,972676817,"ujmirza",0,275.5,"SF Giannis Antetokounmpo C Nikola Jokic SG Donovan Mitchell PG Kris Dunn F Dirk Nowitzki G Andrew Harrison UTIL Wayne Ellington PF Bismack Biyombo",NA,"Josh Jackson","SG","0.62%",6.75
87,972462665,"darcmaniluk (57/65)",0,275.25,"SG Tyreke Evans UTIL DeAndre Jordan C Nikola Jokic PG Eric Bledsoe F Willie Cauley-Stein SF Trey Lyles G Andrew Harrison PF Montrezl Harrell",NA,"Garrett Temple","PG","0.62%",18.5
87,972534769,"Awesemo (8/96)",0,275.25,"C Andre Drummond PG Kyle Lowry UTIL Nikola Jokic G Goran Dragic F Willie Cauley-Stein SG Dennis Smith Jr. SF Wayne Ellington PF Bismack Biyombo",NA,"Dwight Powell","F","0.59%",16.75
87,972753219,"bidle (23/25)",0,275.25,"C Andre Drummond UTIL Tyreke Evans G Lou Williams PG Elfrid Payton SG Mario Hezonja SF Wilson Chandler PF Dirk Nowitzki F Bismack Biyombo",NA,"Domantas Sabonis","PF","0.56%",20.25
90,972462648,"darcmaniluk (40/65)",0,275,"UTIL Giannis Antetokounmpo PG Kyle Lowry C Nikola Jokic PF Derrick Favors G Milos Teodosic SG Andrew Harrison SF Wayne Ellington F Montrezl Harrell",NA,"Luke Kennard","SG","0.53%",9.5
90,972516704,"jontaormina (1/2)",0,275,"UTIL Andre Drummond C Marc Gasol SG Tyreke Evans G Josh Richardson PF Dirk Nowitzki PG Andrew Harrison F Bogdan Bogdanovic SF Wayne Ellington",NA,"Tyson Chandler","UTIL","0.50%",19
90,972574402,"Alan29",0,275,"PG Tyreke Evans C Nikola Jokic SG Kris Dunn G Josh Richardson F Willie Cauley-Stein UTIL Jonas Valanciunas SF Buddy Hield PF Wilson Chandler",NA,"Marreese Speights","PF","0.50%",22
90,972582161,"NILKNARF (3/15)",0,275,"C Marc Gasol SG Tyreke Evans UTIL Nikola Jokic PG Elfrid Payton SF Tobias Harris G Andrew Harrison F Wayne Ellington PF Bismack Biyombo",NA,"Caris LeVert","F","0.40%",29.5
90,972666180,"PetrGibbons (65/96)",0,275,"C Andre Drummond SG Tyreke Evans UTIL Lou Williams PF Serge Ibaka F Willie Cauley-Stein PG J.J. Barea SF Trey Lyles G Andrew Harrison",NA,"Tony Parker","PG","0.40%",19.5
90,972753215,"bidle (19/25)",0,275,"C Andre Drummond G Lou Williams PG Elfrid Payton F Harrison Barnes PF Derrick Favors UTIL Serge Ibaka SF Wilson Chandler SG Wayne Ellington",NA,"Jakob Poeltl","UTIL","0.37%",17.5
96,972319406,"7bushes",0,274.75,"C Andre Drummond UTIL DeAndre Jordan PG Lou Williams G Kris Dunn F Zach Randolph SG Andrew Harrison SF Wayne Ellington PF Bismack Biyombo",NA,"Jamil Wilson","PF","0.31%",28.25
96,972340877,"pope_fiction",0,274.75,"SF Giannis Antetokounmpo C Andre Drummond PG Elfrid Payton PF Harrison Barnes G George Hill UTIL Andrew Harrison SG Wayne Ellington F Bismack Biyombo",NA,"Rudy Gay","SF","0.22%",6.25
96,972600024,"anilprao88 (95/96)",0,274.75,"C Andre Drummond UTIL Nikola Jokic G Lou Williams PG Elfrid Payton SF Tobias Harris SG J.J. Barea PF Bismack Biyombo F Marreese Speights",NA,"Rodney Hood","G","0.22%",19
99,972455782,"rikkidee (27/48)",0,274.5,"UTIL Andre Drummond C DeAndre Jordan SG Spencer Dinwiddie SF Tobias Harris PF Derrick Favors F Willie Cauley-Stein PG J.J. Barea G David Nwaba",NA,"Patty Mills","UTIL","0.19%",11.5
99,972462646,"darcmaniluk (38/65)",0,274.5,"C Andre Drummond UTIL DeAndre Jordan PG Kyle Lowry G Lou Williams F Buddy Hield SF Trey Lyles SG Wayne Ellington PF Montrezl Harrell",NA,"Manu Ginobili","F","0.19%",23
99,972494910,"cheddabisque (46/96)",0,274.5,"UTIL Andre Drummond F LaMarcus Aldridge C Nikola Jokic SF Tobias Harris G J.J. Barea PG Milos Teodosic PF Dirk Nowitzki SG Wesley Matthews",NA,"Alex Len","F","0.19%",28.5
99,972497848,"Kobe4MVP (19/96)",0,274.5,"UTIL Andre Drummond C Nikola Jokic PG Elfrid Payton G Spencer Dinwiddie F Tobias Harris PF Willie Cauley-Stein SG Wesley Matthews SF Wayne Ellington",NA,"OG Anunoby","SF","0.19%",7.25
99,972534841,"Awesemo (80/96)",0,274.5,"C Marc Gasol PG Kyle Lowry UTIL Nikola Jokic G Elfrid Payton SF Tobias Harris SG Dennis Smith Jr. F Wayne Ellington PF Bismack Biyombo",NA,"David Nwaba","G","0.19%",23.75
99,972712465,"EmileHeskey (77/96)",0,274.5,"PF Giannis Antetokounmpo C Andre Drummond SF Tobias Harris UTIL Zach Randolph G Milos Teodosic F Trey Lyles PG Andrew Harrison SG Wayne Ellington",NA,"Brandan Wright","UTIL","0.19%",20.75
105,972423947,"UconnIsOlliewood",0,274.25,"C Marc Gasol SG Tyreke Evans PG Lou Williams G Kris Dunn F Rondae Hollis-Jefferson PF Bam Adebayo UTIL Andrew Harrison SF Wayne Ellington",NA,"Stanley Johnson","SF","0.19%",18.25
105,972462637,"darcmaniluk (29/65)",0,274.25,"C DeAndre Jordan PG Kyle Lowry UTIL Lou Williams G Elfrid Payton PF Derrick Favors SG J.J. Barea F Trey Lyles SF Wayne Ellington",NA,"Troy Daniels","G","0.15%",10
105,972497900,"Kobe4MVP (71/96)",0,274.25,"UTIL Andre Drummond C Nikola Jokic G Lou Williams SF Tobias Harris PG Reggie Jackson PF Willie Cauley-Stein SG Bojan Bogdanovic F Wayne Ellington",NA,"Tyler Ulis","PG","0.12%",23.25
